GO:0000001	mitochondrion inheritance
GO:0005375	copper ion transmembrane transporter activity
GO:0005377	intracellular copper ion transporter
GO:0005381	iron ion transmembrane transporter activity
GO:0005385	zinc ion transmembrane transporter activity
GO:0005388	calcium-transporting ATPase activity
GO:0005391	sodium:potassium-exchanging ATPase activity
GO:0005402	cation:sugar symporter activity
GO:0005412	glucose:sodium symporter activity
GO:0005415	nucleoside:sodium symporter activity
GO:0005416	cation:amino acid symporter activity
GO:0005427	proton-dependent oligopeptide secondary active transmembrane transporter activity
GO:0005432	calcium:sodium antiporter activity
GO:0005436	sodium:phosphate symporter activity
GO:0005471	ATP:ADP antiporter activity
GO:0005472	FAD carrier activity
GO:0005476	carnitine:acyl carnitine antiporter activity
GO:0005477	pyruvate secondary active transmembrane transporter activity
GO:0005483	soluble NSF attachment protein activity
GO:0005484	SNAP receptor activity
GO:0005488	binding
GO:0005489	electron transporter activity
GO:0005499	vitamin D binding
GO:0005502	11-cis retinal binding
GO:0005503	all-trans retinal binding
GO:0005506	iron ion binding
GO:0005507	copper ion binding
GO:0005509	calcium ion binding
GO:0005513	detection of calcium ion
GO:0005515	protein binding
GO:0005520	insulin-like growth factor binding
GO:0005521	lamin binding
GO:0005528	FK506 binding
GO:0005532	mannose binding lectin
GO:0005534	galactose binding
GO:0005537	mannose binding
GO:0005540	hyaluronic acid binding
GO:0005542	folic acid binding
GO:0005575	cellular_component
GO:0005576	extracellular region
GO:0005577	fibrinogen complex
GO:0005578	proteinaceous extracellular matrix
GO:0005579	membrane attack complex
GO:0005581	collagen
GO:0005602	complement component C1 complex
GO:0005605	basal lamina
GO:0005615	extracellular space
GO:0005617	larval serum protein-1
GO:0005619	fungal-type spore wall
GO:0005622	intracellular
GO:0005625	soluble fraction
GO:0005626	insoluble fraction
GO:0005628	prospore membrane
GO:0005637	nuclear inner membrane
GO:0005638	lamin filament
GO:0005640	nuclear outer membrane
GO:0005641	nuclear envelope lumen
GO:0005643	nuclear pore
GO:0005646	importin
GO:0005647	importin, alpha-subunit
GO:0005648	importin, beta-subunit
GO:0005649	transportin
GO:0005650	importin, alpha-subunit transport factor
GO:0005655	nucleolar ribonuclease P complex
GO:0005656	pre-replicative complex
GO:0005657	replication fork
GO:0005658	alpha DNA polymerase:primase complex
GO:0005660	delta-DNA polymerase cofactor complex
GO:0005662	DNA replication factor A complex
GO:0005663	DNA replication factor C complex
GO:0005664	nuclear origin of replication recognition complex
GO:0005666	DNA-directed RNA polymerase III complex
GO:0005680	anaphase-promoting complex
GO:0005681	spliceosome
GO:0005684	U2-dependent spliceosome
GO:0005689	U12-dependent spliceosome
GO:0005694	chromosome
GO:0005701	polytene chromosome chromocenter
GO:0005702	polytene chromosome weak point
GO:0005706	polytene chromosome ectopic fiber
GO:0005721	centric heterochromatin
GO:0005728	extrachromosomal rDNA circle
GO:0005731	nucleolus organizer region
GO:0005732	small nucleolar ribonucleoprotein complex
GO:0005733	small nucleolar RNA
GO:0005736	DNA-directed RNA polymerase I complex
GO:0005739	mitochondrion
GO:0005742	mitochondrial outer membrane translocase complex
GO:0005744	mitochondrial inner membrane presequence translocase complex
GO:0005746	mitochondrial respiratory chain
GO:0005747	mitochondrial respiratory chain complex I
GO:0005749	mitochondrial respiratory chain complex II
GO:0005750	mitochondrial respiratory chain complex III
GO:0005751	mitochondrial respiratory chain complex IV
GO:0005753	mitochondrial proton-transporting ATP synthase complex
GO:0005754	mitochondrial proton-transporting ATP synthase, catalytic core
GO:0005756	mitochondrial proton-transporting ATP synthase, central stalk
GO:0005757	mitochondrial permeability transition pore complex
GO:0005758	mitochondrial intermembrane space
GO:0005759	mitochondrial matrix
GO:0005770	late endosome
GO:0005771	multivesicular body
GO:0005773	vacuole
GO:0005776	autophagic vacuole
GO:0005777	peroxisome
GO:0005778	peroxisomal membrane
GO:0005780	extrinsic to intraperoxisomal membrane
GO:0005783	endoplasmic reticulum
GO:0005784	translocon complex
GO:0005785	signal recognition particle receptor complex
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0005788	endoplasmic reticulum lumen
GO:0005789	endoplasmic reticulum membrane
GO:0005790	smooth endoplasmic reticulum
GO:0005791	rough endoplasmic reticulum
GO:0005792	microsome
GO:0005793	ER-Golgi intermediate compartment
GO:0005794	Golgi apparatus
GO:0005795	Golgi stack
GO:0005798	Golgi-associated vesicle
GO:0005799	coatomer
GO:0005801	cis-Golgi network
GO:0005802	trans-Golgi network
GO:0005803	secretory vesicle
GO:0005811	lipid particle
GO:0005815	microtubule organizing center
GO:0005826	contractile ring
GO:0005827	polar microtubule
GO:0005828	kinetochore microtubule
GO:0005832	chaperonin-containing T-complex
GO:0005833	hemoglobin complex
GO:0005834	heterotrimeric G-protein complex
GO:0005835	fatty acid synthase complex
GO:0005838	proteasome regulatory particle
GO:0005839	proteasome core complex
GO:0005840	ribosome
GO:0005844	polysome
GO:0005846	nuclear cap binding complex
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex
GO:0005848	mRNA cleavage stimulating factor complex
GO:0005850	eukaryotic translation initiation factor 2 complex
GO:0005851	eukaryotic translation initiation factor 2B complex
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0005854	nascent polypeptide-associated complex
GO:0005858	axonemal dynein complex
GO:0005868	cytoplasmic dynein complex
GO:0005881	cytoplasmic microtubule
GO:0005882	intermediate filament
GO:0005883	neurofilament
GO:0005884	actin filament
GO:0005886	plasma membrane
GO:0005889	hydrogen:potassium-exchanging ATPase complex
GO:0005890	sodium:potassium-exchanging ATPase complex
GO:0005891	voltage-gated calcium channel complex
GO:0005892	nicotinic acetylcholine-gated receptor-channel complex
GO:0005901	caveola
GO:0005906	clathrin adaptor
GO:0005907	HA1 clathrin adaptor
GO:0005908	HA2 clathrin adaptor
GO:0005911	intercellular junction
GO:0005914	spot adherens junction
GO:0005915	zonula adherens
GO:0005918	septate junction
GO:0005919	pleated septate junction
GO:0005920	smooth septate junction
GO:0005921	gap junction
GO:0005923	tight junction
GO:0005924	cell-substrate adherens junction
GO:0005925	focal adhesion
GO:0005927	muscle tendon junction
GO:0005928	apical hemi-adherens junction
GO:0005936	shmoo
GO:0005937	mating projection
GO:0005938	cell cortex
GO:0005940	septin ring
GO:0005942	phosphoinositide 3-kinase complex
GO:0005943	1-phosphatidylinositol-4-phosphate 3-kinase, class IA complex
GO:0005944	1-phosphatidylinositol-4-phosphate 3-kinase, class IB complex
GO:0005946	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex
GO:0005948	acetolactate synthase complex
GO:0005951	carbamoyl-phosphate synthase complex
GO:0005952	cAMP-dependent protein kinase complex
GO:0005954	calcium- and calmodulin-dependent protein kinase complex
GO:0005955	calcineurin complex
GO:0005956	protein kinase CK2 complex
GO:0005958	DNA-dependent protein kinase complex
GO:0005960	glycine cleavage complex
GO:0005962	mitochondrial isocitrate dehydrogenase complex (NAD+)
GO:0005966	cyclic-nucleotide phosphodiesterase complex
GO:0005967	mitochondrial pyruvate dehydrogenase complex
GO:0005968	Rab-protein geranylgeranyltransferase complex
GO:0005969	serine-pyruvate aminotransferase complex
GO:0005975	carbohydrate metabolic process
GO:0005976	polysaccharide metabolic process
GO:0005977	glycogen metabolic process
GO:0005978	glycogen biosynthetic process
GO:0005979	regulation of glycogen biosynthetic process
GO:0005980	glycogen catabolic process
GO:0005981	regulation of glycogen catabolic process
GO:0005982	starch metabolic process
GO:0005983	starch catabolic process
GO:0005984	disaccharide metabolic process
GO:0005985	sucrose metabolic process
GO:0005986	sucrose biosynthetic process
GO:0005987	sucrose catabolic process
GO:0005988	lactose metabolic process
GO:0005989	lactose biosynthetic process
GO:0005990	lactose catabolic process
GO:0005991	trehalose metabolic process
GO:0005992	trehalose biosynthetic process
GO:0005993	trehalose catabolic process
GO:0005994	melibiose metabolic process
GO:0005995	melibiose catabolic process
GO:0005996	monosaccharide metabolic process
GO:0005997	xylulose metabolic process
GO:0005998	xylulose catabolic process
GO:0005999	xylulose biosynthetic process
GO:0006000	fructose metabolic process
GO:0006001	fructose catabolic process
GO:0006002	fructose 6-phosphate metabolic process
GO:0006003	fructose 2,6-bisphosphate metabolic process
GO:0006004	fucose metabolic process
GO:0006005	L-fucose biosynthetic process
GO:0006006	glucose metabolic process
GO:0006007	glucose catabolic process
GO:0006011	UDP-glucose metabolic process
GO:0006012	galactose metabolic process
GO:0006013	mannose metabolic process
GO:0006014	D-ribose metabolic process
GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
GO:0006016	2-deoxyribose 1-phosphate biosynthetic process
GO:0006017	deoxyribose 1,5-bisphosphate biosynthetic process
GO:0006018	deoxyribose 1-phosphate catabolic process
GO:0006020	inositol metabolic process
GO:0006021	inositol biosynthetic process
GO:0006022	aminoglycan metabolic process
GO:0006023	aminoglycan biosynthetic process
GO:0006024	glycosaminoglycan biosynthetic process
GO:0006025	galactosaminoglycan biosynthetic process
GO:0006026	aminoglycan catabolic process
GO:0006027	glycosaminoglycan catabolic process
GO:0006028	galactosaminoglycan catabolic process
GO:0006029	proteoglycan metabolic process
GO:0006030	chitin metabolic process
GO:0006031	chitin biosynthetic process
GO:0006032	chitin catabolic process
GO:0006033	chitin localization
GO:0006034	cuticle chitin metabolic process
GO:0006035	cuticle chitin biosynthetic process
GO:0006036	cuticle chitin catabolic process
GO:0006037	cell wall chitin metabolic process
GO:0006038	cell wall chitin biosynthetic process
GO:0006039	cell wall chitin catabolic process
GO:0006040	amino sugar metabolic process
GO:0006041	glucosamine metabolic process
GO:0006042	glucosamine biosynthetic process
GO:0006043	glucosamine catabolic process
GO:0006044	N-acetylglucosamine metabolic process
GO:0006045	N-acetylglucosamine biosynthetic process
GO:0006046	N-acetylglucosamine catabolic process
GO:0006047	UDP-N-acetylglucosamine metabolic process
GO:0006048	UDP-N-acetylglucosamine biosynthetic process
GO:0006049	UDP-N-acetylglucosamine catabolic process
GO:0006050	mannosamine metabolic process
GO:0006051	N-acetylmannosamine metabolic process
GO:0006052	N-acetylmannosamine biosynthetic process
GO:0006053	N-acetylmannosamine catabolic process
GO:0006054	N-acetylneuraminate metabolic process
GO:0006055	CMP-N-acetylneuraminate biosynthetic process
GO:0006056	mannoprotein metabolic process
GO:0006057	mannoprotein biosynthetic process
GO:0006058	mannoprotein catabolic process
GO:0006059	hexitol metabolic process
GO:0006060	sorbitol metabolic process
GO:0006061	sorbitol biosynthetic process
GO:0006062	sorbitol catabolic process
GO:0006063	uronic acid metabolic process
GO:0006064	glucuronate catabolic process
GO:0006065	UDP-glucuronate biosynthetic process
GO:0006066	alcohol metabolic process
GO:0006067	ethanol metabolic process
GO:0006068	ethanol catabolic process
GO:0006070	octanol metabolic process
GO:0006071	glycerol metabolic process
GO:0006072	glycerol-3-phosphate metabolic process
GO:0006073	glucan metabolic process
GO:0006074	1,3-beta-glucan metabolic process
GO:0006075	1,3-beta-glucan biosynthetic process
GO:0006076	1,3-beta-glucan catabolic process
GO:0006077	1,6-beta-glucan metabolic process
GO:0006078	1,6-beta-glucan biosynthetic process
GO:0006079	1,6-beta-glucan catabolic process
GO:0006080	substituted mannan metabolic process
GO:0006081	aldehyde metabolic process
GO:0006082	organic acid metabolic process
GO:0006083	acetate metabolic process
GO:0006084	acetyl-CoA metabolic process
GO:0006085	acetyl-CoA biosynthetic process
GO:0006086	acetyl-CoA biosynthetic process from pyruvate
GO:0006089	lactate metabolic process
GO:0006090	pyruvate metabolic process
GO:0006091	generation of precursor metabolites and energy
GO:0006094	gluconeogenesis
GO:0006097	glyoxylate cycle
GO:0006098	pentose-phosphate shunt
GO:0006099	tricarboxylic acid cycle
GO:0006100	tricarboxylic acid cycle intermediate metabolic process
GO:0006101	citrate metabolic process
GO:0006102	isocitrate metabolic process
GO:0006103	2-oxoglutarate metabolic process
GO:0006104	succinyl-CoA metabolic process
GO:0006105	succinate metabolic process
GO:0006106	fumarate metabolic process
GO:0006107	oxaloacetate metabolic process
GO:0006108	malate metabolic process
GO:0006109	regulation of carbohydrate metabolic process
GO:0006111	regulation of gluconeogenesis
GO:0006112	energy reserve metabolic process
GO:0006114	glycerol biosynthetic process
GO:0006115	ethanol biosynthetic process
GO:0006116	NADH oxidation
GO:0006117	acetaldehyde metabolic process
GO:0006118	electron transport
GO:0006119	oxidative phosphorylation
GO:0006120	mitochondrial electron transport, NADH to ubiquinone
GO:0006121	mitochondrial electron transport, succinate to ubiquinone
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen
GO:0006124	ferredoxin metabolic process
GO:0006125	thioredoxin pathway
GO:0006129	protein-disulfide reduction
GO:0006139	nucleobase, nucleoside, nucleotide and nucleic acid metabolic process
GO:0006140	regulation of nucleotide metabolic process
GO:0006141	regulation of purine base metabolic process
GO:0006142	regulation of pyrimidine base metabolic process
GO:0006144	purine base metabolic process
GO:0006145	purine base catabolic process
GO:0006146	adenine catabolic process
GO:0006147	guanine catabolic process
GO:0006148	inosine catabolic process
GO:0006149	deoxyinosine catabolic process
GO:0006152	purine nucleoside catabolic process
GO:0006154	adenosine catabolic process
GO:0006157	deoxyadenosine catabolic process
GO:0006161	deoxyguanosine catabolic process
GO:0006163	purine nucleotide metabolic process
GO:0006164	purine nucleotide biosynthetic process
GO:0006167	AMP biosynthetic process
GO:0006168	adenine salvage
GO:0006169	adenosine salvage
GO:0006170	dAMP biosynthetic process
GO:0006171	cAMP biosynthetic process
GO:0006172	ADP biosynthetic process
GO:0006173	dADP biosynthetic process
GO:0006175	dATP biosynthetic process
GO:0006176	dATP biosynthetic process from ADP
GO:0006177	GMP biosynthetic process
GO:0006178	guanine salvage
GO:0006179	guanosine salvage
GO:0006181	dGMP biosynthetic process
GO:0006182	cGMP biosynthetic process
GO:0006183	GTP biosynthetic process
GO:0006184	GTP catabolic process
GO:0006185	dGDP biosynthetic process
GO:0006187	dGTP biosynthetic process from dGDP
GO:0006188	IMP biosynthetic process
GO:0006189	'de novo' IMP biosynthetic process
GO:0006190	inosine salvage
GO:0006193	ITP catabolic process
GO:0006195	purine nucleotide catabolic process
GO:0006196	AMP catabolic process
GO:0006198	cAMP catabolic process
GO:0006200	ATP catabolic process
GO:0006201	GMP catabolic process to IMP
GO:0006202	GMP catabolic process to guanine
GO:0006203	dGTP catabolic process
GO:0006204	IMP catabolic process
GO:0006206	pyrimidine base metabolic process
GO:0006207	'de novo' pyrimidine base biosynthetic process
GO:0006208	pyrimidine base catabolic process
GO:0006209	cytosine catabolic process
GO:0006210	thymine catabolic process
GO:0006211	5-methylcytosine catabolic process
GO:0006212	uracil catabolic process
GO:0006213	pyrimidine nucleoside metabolic process
GO:0006214	thymidine catabolic process
GO:0006216	cytidine catabolic process
GO:0006217	deoxycytidine catabolic process
GO:0006218	uridine catabolic process
GO:0006219	deoxyuridine catabolic process
GO:0006220	pyrimidine nucleotide metabolic process
GO:0006221	pyrimidine nucleotide biosynthetic process
GO:0006222	UMP biosynthetic process
GO:0006225	UDP biosynthetic process
GO:0006226	dUMP biosynthetic process
GO:0006227	dUDP biosynthetic process
GO:0006228	UTP biosynthetic process
GO:0006229	dUTP biosynthetic process
GO:0006230	TMP biosynthetic process
GO:0006231	dTMP biosynthetic process
GO:0006232	TDP biosynthetic process
GO:0006233	dTDP biosynthetic process
GO:0006234	TTP biosynthetic process
GO:0006235	dTTP biosynthetic process
GO:0006238	CMP salvage
GO:0006239	dCMP salvage
GO:0006240	dCDP biosynthetic process
GO:0006241	CTP biosynthetic process
GO:0006242	dCTP biosynthetic process
GO:0006244	pyrimidine nucleotide catabolic process
GO:0006245	TDP catabolic process
GO:0006246	dTDP catabolic process
GO:0006248	CMP catabolic process
GO:0006249	dCMP catabolic process
GO:0006251	dCDP catabolic process
GO:0006253	dCTP catabolic process
GO:0006254	CTP catabolic process
GO:0006256	UDP catabolic process
GO:0006257	dUDP catabolic process
GO:0006258	UDP-glucose catabolic process
GO:0006259	DNA metabolic process
GO:0006260	DNA replication
GO:0006264	mitochondrial DNA replication
GO:0006265	DNA topological change
GO:0006267	pre-replicative complex assembly
GO:0006268	DNA unwinding during replication
GO:0006269	DNA replication, synthesis of RNA primer
GO:0006271	DNA strand elongation during DNA replication
GO:0006279	premeiotic DNA synthesis
GO:0006284	base-excision repair
GO:0006289	nucleotide-excision repair
GO:0006294	nucleotide-excision repair, preincision complex assembly
GO:0006295	nucleotide-excision repair, DNA incision, 3'-to lesion
GO:0006296	nucleotide-excision repair, DNA incision, 5'-to lesion
GO:0006298	mismatch repair
GO:0006303	double-strand break repair via nonhomologous end joining
GO:0006308	DNA catabolic process
GO:0006309	DNA fragmentation during apoptosis
GO:0006311	meiotic gene conversion
GO:0006313	transposition, DNA-mediated
GO:0006333	chromatin assembly or disassembly
GO:0006334	nucleosome assembly
GO:0006336	DNA replication-independent nucleosome assembly
GO:0006338	chromatin remodeling
GO:0006342	chromatin silencing
GO:0006343	establishment of chromatin silencing
GO:0006344	maintenance of chromatin silencing
GO:0006346	methylation-dependent chromatin silencing
GO:0006348	chromatin silencing at telomere
GO:0006349	genetic imprinting
GO:0006352	transcription initiation
GO:0006353	transcription termination
GO:0006354	RNA elongation
GO:0006355	regulation of transcription, DNA-dependent
GO:0006356	regulation of transcription from RNA polymerase I promoter
GO:0006357	regulation of transcription from RNA polymerase II promoter
GO:0006358	regulation of transcription from RNA polymerase II promoter, global
GO:0006359	regulation of transcription from RNA polymerase III promoter
GO:0006360	transcription from RNA polymerase I promoter
GO:0006361	transcription initiation from RNA polymerase I promoter
GO:0006362	RNA elongation from RNA polymerase I promoter
GO:0006363	termination of RNA polymerase I transcription
GO:0006364	rRNA processing
GO:0006366	transcription from RNA polymerase II promoter
GO:0006367	transcription initiation from RNA polymerase II promoter
GO:0006368	RNA elongation from RNA polymerase II promoter
GO:0006369	termination of RNA polymerase II transcription
GO:0006370	mRNA capping
GO:0006374	nuclear mRNA splicing via U2-type spliceosome
GO:0006375	nuclear mRNA splicing via U12-type spliceosome
GO:0006376	mRNA splice site selection
GO:0006378	mRNA polyadenylation
GO:0006379	mRNA cleavage
GO:0006383	transcription from RNA polymerase III promoter
GO:0006384	transcription initiation from RNA polymerase III promoter
GO:0006385	RNA elongation from RNA polymerase III promoter
GO:0006386	termination of RNA polymerase III transcription
GO:0006388	tRNA splicing
GO:0006390	transcription from mitochondrial promoter
GO:0006393	termination of mitochondrial transcription
GO:0006397	mRNA processing
GO:0006398	histone mRNA 3'-end processing
GO:0006399	tRNA metabolic process
GO:0006400	tRNA modification
GO:0006401	RNA catabolic process
GO:0006402	mRNA catabolic process
GO:0006403	RNA localization
GO:0006404	RNA import into nucleus
GO:0006405	RNA export from nucleus
GO:0006406	mRNA export from nucleus
GO:0006407	rRNA export from nucleus
GO:0006408	snRNA export from nucleus
GO:0006409	tRNA export from nucleus
GO:0006410	transcription, RNA-dependent
GO:0006412	translation
GO:0006413	translational initiation
GO:0006414	translational elongation
GO:0006415	translational termination
GO:0006417	regulation of translation
GO:0006418	tRNA aminoacylation for protein translation
GO:0006450	regulation of translational fidelity
GO:0006451	translational readthrough
GO:0006457	protein folding
GO:0006458	'de novo' protein folding
GO:0006461	protein complex assembly
GO:0006464	protein modification process
GO:0006465	signal peptide processing
GO:0006466	protein disulfide-isomerase reaction
GO:0006467	protein thiol-disulfide exchange
GO:0006469	negative regulation of protein kinase activity
GO:0006477	protein amino acid sulfation
GO:0006478	peptidyl-tyrosine sulfation
GO:0006483	peptidyl-aspartic acid/asparagine hydroxylation
GO:0006487	protein amino acid N-linked glycosylation
GO:0006488	dolichol-linked oligosaccharide biosynthetic process
GO:0006489	dolichyl diphosphate biosynthetic process
GO:0006491	N-glycan processing
GO:0006497	protein amino acid lipidation
GO:0006505	GPI anchor metabolic process
GO:0006506	GPI anchor biosynthetic process
GO:0006508	proteolysis
GO:0006509	membrane protein ectodomain proteolysis
GO:0006510	ATP-dependent proteolysis
GO:0006511	ubiquitin-dependent protein catabolic process
GO:0006513	protein monoubiquitination
GO:0006515	misfolded or incompletely synthesized protein catabolic process
GO:0006516	glycoprotein catabolic process
GO:0006517	protein deglycosylation
GO:0006518	peptide metabolic process
GO:0006519	amino acid and derivative metabolic process
GO:0006520	amino acid metabolic process
GO:0006521	regulation of amino acid metabolic process
GO:0006522	alanine metabolic process
GO:0006523	alanine biosynthetic process
GO:0006524	alanine catabolic process
GO:0006525	arginine metabolic process
GO:0006526	arginine biosynthetic process
GO:0006527	arginine catabolic process
GO:0006528	asparagine metabolic process
GO:0006529	asparagine biosynthetic process
GO:0006530	asparagine catabolic process
GO:0006531	aspartate metabolic process
GO:0006532	aspartate biosynthetic process
GO:0006533	aspartate catabolic process
GO:0006534	cysteine metabolic process
GO:0006535	cysteine biosynthetic process from serine
GO:0006536	glutamate metabolic process
GO:0006537	glutamate biosynthetic process
GO:0006538	glutamate catabolic process
GO:0006539	glutamate catabolic process via 2-oxoglutarate
GO:0006540	glutamate decarboxylation to succinate
GO:0006541	glutamine metabolic process
GO:0006542	glutamine biosynthetic process
GO:0006543	glutamine catabolic process
GO:0006544	glycine metabolic process
GO:0006545	glycine biosynthetic process
GO:0006546	glycine catabolic process
GO:0006547	histidine metabolic process
GO:0006548	histidine catabolic process
GO:0006549	isoleucine metabolic process
GO:0006550	isoleucine catabolic process
GO:0006551	leucine metabolic process
GO:0006552	leucine catabolic process
GO:0006553	lysine metabolic process
GO:0006554	lysine catabolic process
GO:0006555	methionine metabolic process
GO:0006556	S-adenosylmethionine biosynthetic process
GO:0006557	S-adenosylmethioninamine biosynthetic process
GO:0006558	L-phenylalanine metabolic process
GO:0006559	L-phenylalanine catabolic process
GO:0006560	proline metabolic process
GO:0006561	proline biosynthetic process
GO:0006562	proline catabolic process
GO:0006563	L-serine metabolic process
GO:0006564	L-serine biosynthetic process
GO:0006565	L-serine catabolic process
GO:0006566	threonine metabolic process
GO:0006567	threonine catabolic process
GO:0006568	tryptophan metabolic process
GO:0006569	tryptophan catabolic process
GO:0006570	tyrosine metabolic process
GO:0006571	tyrosine biosynthetic process
GO:0006572	tyrosine catabolic process
GO:0006573	valine metabolic process
GO:0006574	valine catabolic process
GO:0006575	amino acid derivative metabolic process
GO:0006576	biogenic amine metabolic process
GO:0006577	betaine metabolic process
GO:0006578	betaine biosynthetic process
GO:0006579	betaine catabolic process
GO:0006580	ethanolamine metabolic process
GO:0006581	acetylcholine catabolic process
GO:0006582	melanin metabolic process
GO:0006583	melanin biosynthetic process from tyrosine
GO:0006584	catecholamine metabolic process
GO:0006585	dopamine biosynthetic process from tyrosine
GO:0006586	indolalkylamine metabolic process
GO:0006587	serotonin biosynthetic process from tryptophan
GO:0006588	activation of tryptophan 5-monooxygenase activity
GO:0006589	octopamine biosynthetic process
GO:0006591	ornithine metabolic process
GO:0006592	ornithine biosynthetic process
GO:0006593	ornithine catabolic process
GO:0006595	polyamine metabolic process
GO:0006596	polyamine biosynthetic process
GO:0006597	spermine biosynthetic process
GO:0006598	polyamine catabolic process
GO:0006599	phosphagen metabolic process
GO:0006600	creatine metabolic process
GO:0006601	creatine biosynthetic process
GO:0006602	creatinine catabolic process
GO:0006603	phosphocreatine metabolic process
GO:0006604	phosphoarginine metabolic process
GO:0006605	protein targeting
GO:0006606	protein import into nucleus
GO:0006607	NLS-bearing substrate import into nucleus
GO:0006608	snRNP protein import into nucleus
GO:0006609	mRNA-binding (hnRNP) protein import into nucleus
GO:0006610	ribosomal protein import into nucleus
GO:0006611	protein export from nucleus
GO:0006612	protein targeting to membrane
GO:0006613	cotranslational protein targeting to membrane
GO:0006614	SRP-dependent cotranslational protein targeting to membrane
GO:0006615	SRP-dependent cotranslational protein targeting to membrane, docking
GO:0006616	SRP-dependent cotranslational protein targeting to membrane, translocation
GO:0006617	SRP-dependent cotranslational protein targeting to membrane, signal sequence recognition
GO:0006618	SRP-dependent cotranslational protein targeting to membrane, signal sequence processing
GO:0006619	SRP-independent cotranslational protein-membrane targeting
GO:0006620	posttranslational protein targeting to membrane
GO:0006621	protein retention in ER
GO:0006622	protein targeting to lysosome
GO:0006623	protein targeting to vacuole
GO:0006624	vacuolar protein processing
GO:0006625	protein targeting to peroxisome
GO:0006626	protein targeting to mitochondrion
GO:0006627	mitochondrial protein processing during import
GO:0006629	lipid metabolic process
GO:0006631	fatty acid metabolic process
GO:0006633	fatty acid biosynthetic process
GO:0006634	hexadecanal biosynthetic process
GO:0006636	unsaturated fatty acid biosynthetic process
GO:0006637	acyl-CoA metabolic process
GO:0006638	neutral lipid metabolic process
GO:0006639	acylglycerol metabolic process
GO:0006640	monoacylglycerol biosynthetic process
GO:0006641	triacylglycerol metabolic process
GO:0006642	triacylglycerol mobilization
GO:0006643	membrane lipid metabolic process
GO:0006644	phospholipid metabolic process
GO:0006646	phosphatidylethanolamine biosynthetic process
GO:0006647	phosphatidyl-N-monomethylethanolamine biosynthetic process
GO:0006650	glycerophospholipid metabolic process
GO:0006651	diacylglycerol biosynthetic process
GO:0006653	lecithin metabolic process
GO:0006654	phosphatidic acid biosynthetic process
GO:0006655	phosphatidylglycerol biosynthetic process
GO:0006656	phosphatidylcholine biosynthetic process
GO:0006658	phosphatidylserine metabolic process
GO:0006659	phosphatidylserine biosynthetic process
GO:0006660	phosphatidylserine catabolic process
GO:0006661	phosphatidylinositol biosynthetic process
GO:0006662	glycerol ether metabolic process
GO:0006663	platelet activating factor biosynthetic process
GO:0006664	glycolipid metabolic process
GO:0006665	sphingolipid metabolic process
GO:0006666	3-keto-sphinganine metabolic process
GO:0006667	sphinganine metabolic process
GO:0006668	sphinganine-1-phosphate metabolic process
GO:0006669	sphinganine-1-phosphate biosynthetic process
GO:0006670	sphingosine metabolic process
GO:0006671	phytosphingosine metabolic process
GO:0006672	ceramide metabolic process
GO:0006673	inositolphosphoceramide metabolic process
GO:0006674	inositol phosphorylceramide metabolic process
GO:0006675	mannose inositol phosphoceramide metabolic process
GO:0006676	mannosyl diphosphorylinositol ceramide metabolic process
GO:0006677	glycosylceramide metabolic process
GO:0006678	glucosylceramide metabolic process
GO:0006679	glucosylceramide biosynthetic process
GO:0006680	glucosylceramide catabolic process
GO:0006681	galactosylceramide metabolic process
GO:0006682	galactosylceramide biosynthetic process
GO:0006683	galactosylceramide catabolic process
GO:0006684	sphingomyelin metabolic process
GO:0006685	sphingomyelin catabolic process
GO:0006686	sphingomyelin biosynthetic process
GO:0006687	glycosphingolipid metabolic process
GO:0006688	glycosphingolipid biosynthetic process
GO:0006689	ganglioside catabolic process
GO:0006690	icosanoid metabolic process
GO:0006691	leukotriene metabolic process
GO:0006692	prostanoid metabolic process
GO:0006693	prostaglandin metabolic process
GO:0006694	steroid biosynthetic process
GO:0006695	cholesterol biosynthetic process
GO:0006696	ergosterol biosynthetic process
GO:0006697	ecdysone biosynthetic process
GO:0006699	bile acid biosynthetic process
GO:0006700	C21-steroid hormone biosynthetic process
GO:0006701	progesterone biosynthetic process
GO:0006702	androgen biosynthetic process
GO:0006703	estrogen biosynthetic process
GO:0006704	glucocorticoid biosynthetic process
GO:0006705	mineralocorticoid biosynthetic process
GO:0006706	steroid catabolic process
GO:0006707	cholesterol catabolic process
GO:0006708	ecdysone catabolic process
GO:0006709	progesterone catabolic process
GO:0006710	androgen catabolic process
GO:0006711	estrogen catabolic process
GO:0006712	mineralocorticoid catabolic process
GO:0006713	glucocorticoid catabolic process
GO:0006714	sesquiterpenoid metabolic process
GO:0006715	farnesol biosynthetic process
GO:0006716	juvenile hormone metabolic process
GO:0006718	juvenile hormone biosynthetic process
GO:0006719	juvenile hormone catabolic process
GO:0006720	isoprenoid metabolic process
GO:0006721	terpenoid metabolic process
GO:0006722	triterpenoid metabolic process
